chip_number,orifice_size,aspect_ratio,expansion_ratio,normalized_orifice_length,normalized_water_inlet,normalized_oil_inlet,flow_rate_ratio,capillary_number,regime,generation_rate,droplet_size
1,75,1,2,1,2,2,10,0.045,1,28.5714285714,66.1893307177
2,75,1,2,1,2,2,10,0.09,1,135.752688172,49.6050426504
3,75,1,2,1,2,2,10,0.18,1,327.6094276094,46.5943411385
4,75,1,2,1,2,2,10,0.36,2,312.4579124579,59.6391522662
5,75,1,2,1,2,2,10,0.72,2,532.9744279946,62.888298559
6,75,1,2,1,2,2,13,0.045,1,21.0454854039,67.1528643389
7,75,1,2,1,2,2,13,0.09,1,149.5956873315,44.0035618319
8,75,1,2,1,2,2,13,0.18,1,348.1182795699,41.8371326171
9,75,1,2,1,2,2,13,0.36,2,363.3916554509,51.9624001515
10,75,1,2,1,2,2,13,0.72,2,538.0361930295,57.4407834391
11,75,1,2,1,2,2,16,0.045,1,24.9494268375,59.2068273521
12,75,1,2,1,2,2,16,0.09,1,220.1342281879,36.0999101353
13,75,1,2,1,2,2,16,0.18,1,353.0598520511,38.856397457
14,75,1,2,1,2,2,16,0.36,2,359.2493297587,48.6732098395
15,75,1,2,1,2,2,16,0.72,2,646.2801608579,50.4225764865
16,75,1,2,1,2,2,19,0.045,1,28.5520054385,53.4525672631
17,75,1,2,1,2,2,19,0.09,1,221.7741935484,34.0058606048
18,75,1,2,1,2,2,19,0.18,1,377.1043771044,35.8960708658
19,75,1,2,1,2,2,19,0.36,2,396.2264150943,44.4866423631
20,75,1,2,1,2,2,19,0.72,2,818.7458081824,44.0052411857
21,75,1,2,1,2,2,22,0.045,1,46.4021519839,43.2957274047
22,75,1,2,1,2,2,22,0.09,1,295.2571810287,29.4374999349
23,75,1,2,1,2,2,22,0.18,1,475.4539340955,31.6428017276
24,75,1,2,1,2,2,22,0.36,2,497.646267653,39.2657737539
25,75,1,2,1,2,2,22,0.72,2,697.5184439973,44.205792103
26,75,1.5,3,1.5,2.5,2.5,10,0.045,1,45.7604306864,63.3805668402
27,75,1.5,3,1.5,2.5,2.5,10,0.09,1,115.7718120805,58.6041729843
28,75,1.5,3,1.5,2.5,2.5,10,0.18,2,123.9919354839,72.1675016358
29,75,1.5,3,1.5,2.5,2.5,10,0.36,2,205.9611520429,76.7752156386
30,75,1.5,3,1.5,2.5,2.5,10,0.72,2,445.0402144772,74.8214974099
31,75,1.5,3,1.5,2.5,2.5,13,0.045,1,46.4021519839,57.8041467879
32,75,1.5,3,1.5,2.5,2.5,13,0.09,1,123.9086635326,52.4945813981
33,75,1.5,3,1.5,2.5,2.5,13,0.18,2,126.7605633803,65.6392554457
34,75,1.5,3,1.5,2.5,2.5,13,0.36,2,243.1346282652,66.560936818
35,75,1.5,3,1.5,2.5,2.5,13,0.72,2,444.1453566622,68.6019806697
36,75,1.5,3,1.5,2.5,2.5,16,0.045,1,48.7804878049,53.0474012298
37,75,1.5,3,1.5,2.5,2.5,16,0.09,1,161.3987895091,44.8527835079
38,75,1.5,3,1.5,2.5,2.5,16,0.18,2,132.7967806841,60.3073586141
39,75,1.5,3,1.5,2.5,2.5,16,0.36,2,230.2278820375,63.2494638918
40,75,1.5,3,1.5,2.5,2.5,16,0.72,2,451.6129032258,63.6596196417
41,75,1.5,3,1.5,2.5,2.5,19,0.045,1,53.3423362593,48.6232826429
42,75,1.5,3,1.5,2.5,2.5,19,0.09,2,102.0134228188,49.3543964249
43,75,1.5,3,1.5,2.5,2.5,19,0.18,2,156.25,53.944636977
44,75,1.5,3,1.5,2.5,2.5,19,0.36,2,256.0240963855,57.6507110386
45,75,1.5,3,1.5,2.5,2.5,19,0.72,2,497.311827957,58.2146134133
46,75,1.5,3,1.5,2.5,2.5,22,0.045,1,64.0593391773,43.5629994866
47,75,1.5,3,1.5,2.5,2.5,22,0.09,2,95.8445040214,47.9880224722
48,75,1.5,3,1.5,2.5,2.5,22,0.18,2,145.1612903226,52.6479724147
49,75,1.5,3,1.5,2.5,2.5,22,0.36,2,267.6056338028,54.097455462
50,75,1.5,3,1.5,2.5,2.5,22,0.72,2,533.8698859826,54.1427253203
51,75,2,4,2,3,3,10,0.045,1,30.8724832215,78.463128816
52,75,2,4,2,3,3,10,0.09,1,115.9322033898,63.6011221863
53,75,2,4,2,3,3,10,0.18,2,60.298102981,99.6418060386
54,75,2,4,2,3,3,10,0.36,2,123.0665770007,98.9705761598
55,75,2,4,2,3,3,10,0.72,2,241.935483871,99.5396893344
56,75,2,4,2,3,3,13,0.045,1,29.4715447154,73.0142103513
57,75,2,4,2,3,3,13,0.09,1,125.754527163,56.716638302
58,75,2,4,2,3,3,13,0.18,2,77.4932614555,83.9731367995
59,75,2,4,2,3,3,13,0.36,2,122.4696356275,90.8299091058
60,75,2,4,2,3,3,13,0.72,2,228.4946236559,92.9586250481
61,75,2,4,2,3,3,16,0.045,1,36.8492224476,63.242161703
62,75,2,4,2,3,3,16,0.09,1,99.5260663507,57.215522429
63,75,2,4,2,3,3,16,0.18,2,79.107505071,77.8210196607
64,75,2,4,2,3,3,16,0.36,2,140.6882591093,80.927015831
65,75,2,4,2,3,3,16,0.72,2,239.4082044385,85.4036568287
66,75,2,4,2,3,3,19,0.045,1,34.5060893099,61.0435378332
67,75,2,4,2,3,3,19,0.09,1,121.8120805369,50.5108667799
